Name of Mobile Phone,SIM,Size,OS,Chipset,CPU,Card slot,Memory,Rear Camera,Front Camera,Wifi,Bluetooth,Sensors,Battery
alcatel 3x,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","5.7 inches, 83.8 cm2 (~76.3% screen-to-body ratio)",Android 7.1 (Nougat),Mediatek MT6739 (28 nm),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 128 GB","16GB 2GB RAM, 32GB 3GB RAM",,,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Fingerprint (rear-mounted), accelerometer, proximity, compass",Non-removable Li-Ion 3000 mAh battery
alcatel 3,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","5.5 inches, 78.1 cm2 (~77.1% screen-to-body ratio)",Android 8.0 (Oreo),Mediatek MT6739 (28 nm),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 128 GB",16GB 2GB RAM,"13 MP, f/2.0, 1/3"", 1.12µm, PDAF",5 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Fingerprint (rear-mounted), accelerometer, proximity, compass",Non-removable Li-Ion 3000 mAh battery
alcatel 1x,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","5.3 inches, 72.5 cm2 (~69.6% screen-to-body ratio)",Android 8.1 (Oreo) - 5059D only; Android 8.1 Oreo (Go edition) - all other models,Mediatek MT6739 (28 nm),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 32 GB","16GB 1GB RAM, 16GB 2GB RAM","8 MP, f/2.0, 1/4"", 1.12µm, AF
13 MP (5059D only)",5 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Fingerprint (rear-mounted, 5059A/J only), accelerometer, proximity",Li-Ion 2460 mAh battery
alcatel 3c,Dual SIM (dual stand-by),"6.0 inches, 92.9 cm2 (~75.9% screen-to-body ratio)",Android 7.1 (Nougat),Mediatek MT8321 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 128 GB",16GB 1GB RAM,"8 MP, AF",5 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Fingerprint (rear-mounted), accelerometer, proximity",Non-removable Li-Ion 3000 mAh battery
alcatel 1T 10,No,"10.1 inches, 295.8 cm2 (~74.8% screen-to-body ratio)",Android 8.1 (Oreo),Mediatek MT8321 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 128 GB",16GB 1GB RAM,2 MP,2 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP",Accelerometer,Non-removable Li-Ion 4000 mAh battery
alcatel 1T 7,No,"7.0 inches, 137.9 cm2 (~65.6% screen-to-body ratio)",Android 8.1 (Oreo),Mediatek MT8321A/D (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 128 GB",8GB 1GB RAM,2 MP,VGA,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP",Accelerometer,Non-removable Li-Ion 2580 mAh battery
alcatel Idol 5s,Nano-SIM,"5.2 inches, 74.5 cm2 (~69.7% screen-to-body ratio)",Android 7.1 (Nougat),Mediatek MT6757 Helio P20 (16 nm),Octa-core (4x2.35 GHz Cortex-A53 & 4x1.65 GHz Cortex-A53),"microSD, up to 256 GB",32GB 3GB RAM,"12 MP, f/2.0, 1/2.8"", 1.25µm, PDAF","8 MP, f/2.0, 1/3.2"", 1.4µm","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 2850 mAh battery
alcatel Idol 5,Nano-SIM,"5.2 inches, 74.9 cm2 (~69.3% screen-to-body ratio)",Android 7.1 (Nougat),Mediatek MT6753 (28 nm),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 256 GB",16GB 3GB RAM,"13 MP, f/2.0, 1/3"", 1.12µm, PDAF","5 MP, f/2.4, 1/5"", 1.12µm","Wi-Fi 802.11, b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 2800 mAh battery
alcatel A7 XL,Single SIM or Dual SIM,"6.0 inches, 99.2 cm2 (~76.3% screen-to-body ratio)",Android 7.1 (Nougat),Mediatek MT6750S (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"microSD, up to 32 GB",32GB 3GB RAM,"12 MP, PDAF
2 MP, depth sensor",5 MP,"Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Fingerprint (rear-mounted), accelerometer, proximity, compass",Non-removable Li-Ion 4000 mAh battery
alcatel A7,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","5.5 inches, 83.4 cm2 (~71.4% screen-to-body ratio)",Android 7.0 (Nougat),Mediatek MT6750T (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"microSD, up to 128 GB",32GB 3GB RAM,"16 MP, f/2.0, 1/3"", PDAF",8 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 4000 mAh battery
alcatel U5 HD,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","5.0 inches, 68.9 cm2 (~68.1% screen-to-body ratio)",Android 7.0 (Nougat),Mediatek MT6737 (28 nm),Quad-core 1.1 GHz Cortex-A53,"microSD, up to 128 GB",8GB 1GB RAM,"13 MP, AF",8 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Accelerometer, proximity",Non-removable Li-Ion 2200 mAh battery
alcatel Pulsemix,Nano-SIM,"5.2 inches, 74.5 cm2 (~71.0% screen-to-body ratio)",Android 7.0 (Nougat),Mediatek MT6738,Quad-core 1.5 GHz Cortex-A53,"microSD, up to 128 GB",16GB 2GB RAM,"8 MP, f/2.0, AF",2 MP,"Wi-Fi 802.11 a/b/g/n, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Accelerometer, proximity, compass",Non-removable Li-Ion 2800 mAh battery
alcatel Idol 5s (USA),Nano-SIM,"5.2 inches, 74.5 cm2 (~70.8% screen-to-body ratio)",Android 7.1 (Nougat),Qualcomm MSM8953 Snapdragon 625 (14 nm),Octa-core 2.0 GHz Cortex-A53,"microSD, up to 256 GB",32GB 3GB RAM,"12 MP, f/2.0, 1/2.8"", 1.25µm, PDAF","8 MP, f/2.0, 1/3.2"", 1.4µm","Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 2620 mAh battery
alcatel Flash (2017),"Dual SIM (Nano-SIM, dual stand-by)","5.5 inches, 83.4 cm2 (~72.5% screen-to-body ratio)",Android 6.0 (Marshmallow),Mediatek MT6797 Helio X20 (20 nm),"Deca-core (2x2.3 GHz Cortex-A72, 4x1.9 GHz Cortex-A53, 4x1.4 GHz Cortex-A53)","microSD, up to 256 GB",32GB 3GB RAM,"13 MP, f/2.0, 1/3"", 1.12µm, PDAF
13 MP B/W, f/2.0, 1/3"", 1.12µm, PDAF","8 MP, f/2.0, AF
5 MP, depth sensor","Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.1, A2DP","Fingerprint (rear-mounted), accelerometer, proximity, compass",Non-removable Li-Ion 3100 mAh battery
alcatel U5,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","5.0 inches, 68.9 cm2 (~68.2% screen-to-body ratio)",Android 6.0 (Marshmallow),Mediatek MT6737M (28 nm),Quad-core 1.1 GHz Cortex-A53,"microSD, up to 32 GB",8GB 1GB RAM,5 MP,2 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE",Accelerometer,Non-removable Li-Ion 2050 mAh battery
alcatel A5 LED,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","5.2 inches, 74.5 cm2 (~70.8% screen-to-body ratio)",Android 6.0 (Marshmallow),Mediatek MT6753 (28 nm),Octa-core 1.3 GHz Cortex-A53,"microSD, up to 32 GB","16GB 2GB RAM, 32GB 3GB RAM","8 MP, f/2.0, AF",5 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Fingerprint (front-mounted, region dependent), accelerometer, proximity, compass",Non-removable Li-Ion 2800 mAh battery
alcatel A3,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","5.0 inches, 68.9 cm2 (~68.8% screen-to-body ratio)",Android 6.0 (Marshmallow),Mediatek MT6737 (28 nm),Quad-core 1.25 GHz Cortex-A53,"microSD, up to 32 GB",16GB 1.5GB RAM,"13 MP, f/2.0, AF",5 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Fingerprint (rear-mounted), accelerometer, proximity, compass",Non-removable Li-Ion 2460 mAh battery
alcatel A3 XL,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)","6.0 inches, 99.2 cm2 (~72.9% screen-to-body ratio)",Android 7.0 (Nougat),Mediatek MT8735B,Quad-core 1.1 GHz Cortex-A7,"microSD, up to 32 GB (dedicated slot)","8GB 2GB RAM, 16GB 2GB RAM","8 MP or 13 MP, AF",5 MP or 8 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Fingerprint (rear-mounted), accelerometer, proximity",Non-removable Li-Ion 3000 mAh battery
alcatel Shine Lite,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","5.0 inches, 68.9 cm2 (~68.4% screen-to-body ratio)",Android 6.0 (Marshmallow),Mediatek MT6737 (28 nm),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 256 GB",16GB 2GB RAM,"13 MP, AF",5 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Fingerprint (rear-mounted), accelerometer, proximity, compass",Non-removable Li-Ion 2460 mAh battery
alcatel Pixi 4 Plus Power,"Dual SIM (Micro-SIM, dual stand-by)","5.5 inches, 83.4 cm2 (~70.1% screen-to-body ratio)",Android OS,"microSD, up to 32 GB (dedicated slot)",8GB 1GB RAM,"8 MP, AF",5 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP","Accelerometer, proximity",Non-removable Li-Ion 5000 mAh battery
alcatel Fierce 4,Nano-SIM,"5.5 inches, 83.4 cm2 (~71.8% screen-to-body ratio)",Android 6.0 (Marshmallow),Qualcomm MSM8909 Snapdragon 210 (28 nm),Quad-core 1.1 GHz Cortex-A7,"microSD, up to 256 GB (dedicated slot)",16GB 2GB RAM,"8 MP, AF",5 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP, LE","Accelerometer, proximity, compass",Non-removable Li-Ion 2500 mAh battery
alcatel X1,"Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","5.0 inches, 68.9 cm2 (~68.7% screen-to-body ratio)",Android 5.1 (Lollipop),Qualcomm MSM8929 Snapdragon 415 (28 nm),Octa-core (4x1.4 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"microSD, up to 256 GB",16GB 2GB RAM,"13 MP, f/2.2, 1/3"", 1.12µm, AF","5 MP, f/2.0, 1/4"", 1.4µm","Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP","Accelerometer, proximity, compass",Non-removable Li-Po 2150 mAh battery
alcatel Pixi 4 (5),Micro-SIM,"5.0 inches, 68.9 cm2 (~67.3% screen-to-body ratio)",Android 6.0 (Marshmallow),Quad-core 1.3 GHz,"microSD, up to 32 GB (dedicated slot)",8GB 1GB RAM,"8 MP, AF",5 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.0, A2DP",Accelerometer,Removable Li-Ion 2000 mAh battery
alcatel Flash Plus 2,"Dual SIM (Micro-SIM, dual stand-by)","5.5 inches, 83.4 cm2 (~71.5% screen-to-body ratio)",Android 6.0 (Marshmallow),Mediatek MT6755 Helio P10 (28 nm),Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"microSD, up to 256 GB (dedicated slot)","16GB 2GB RAM, 32GB 3GB RAM","13 MP, f/2.0, 1/3"", 1.12µm, PDAF",5 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP","Fingerprint (front-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Ion 3000 mAh battery
alcatel Pop 7 LTE,Micro-SIM,"7.0 inches, 137.9 cm2 (~65.3% screen-to-body ratio)",Android 6.0.1 (Marshmallow),Quad-core 1.1 GHz,"microSD, up to 32 GB (dedicated slot)",8GB 1GB RAM,5 MP,2 MP,"Wi-Fi 802.11 a/b/g/n, hotspot","4.1, A2DP, LE",,Non-removable Li-Ion 3240 mAh battery
alcatel Pop 4S,"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","5.5 inches, 83.4 cm2 (~71.3% screen-to-body ratio)",Android 6.0 (Marshmallow),Mediatek MT6755M (28 nm),Octa-core (4x1.8 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"microSD, up to 64 GB (dedicated slot)",16GB 2GB RAM,"13 MP, f/2.0, 1/3"", PDAF",5 MP,"Wi-Fi 802.11 b/g/n, Wi-Fi Direct, hotspot","4.2, A2DP","Fingerprint (front-mounted), accelerometer, proximity/ gyro, compass (optional)",Non-removable Li-Ion 2960 mAh battery
Allview Viva C703,No,"7.0 inches, 137.9 cm2 (~67.5% screen-to-body ratio)",Android 8.1 Oreo (Go edition),Quad-core 1.5 GHz Cortex-A7,"microSD, up to 32 GB",8GB 1GB RAM,No,0.3 MP,Wi-Fi 802.11 b/g/n,"4.0, A2DP",Accelerometer,Non-removable Li-Po 2000 mAh battery
Allview Viva Home,No,"17.3 inches, 825.1 cm2 (~74.0% screen-to-body ratio)",Android 9.0 (Pie),Mediatek MT8163,Quad-core 1.5 GHz Cortex-A53,"microSD, up to 128 GB (dedicated slot)",32GB 2GB RAM,No,2 MP,Wi-Fi 802.11 a/b/g/n,"4.0, A2DP",Accelerometer,Non-removable Li-Po 5000 mAh battery
Allview Viva 1003G,Mini-SIM,"10.1 inches, 295.8 cm2 (~70.0% screen-to-body ratio)",Android 9.0 (Pie),Mediatek MT8321A (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 128 GB (dedicated slot)",16GB 2GB RAM,2 MP,2 MP,Wi-Fi 802.11 b/g/n,"4.0, A2DP",Accelerometer,Non-removable Li-Po 4000 mAh battery
Allview Viva 1003G Lite,Mini-SIM,"10.1 inches, 295.8 cm2 (~70.0% screen-to-body ratio)",Android 8.1 Oreo (Go edition),Mediatek MT8321A (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 128 GB (dedicated slot)",16GB 1GB RAM,0.3 MP,2 MP,Wi-Fi 802.11 b/g/n,"4.0, A2DP",Accelerometer,Non-removable Li-Po 4000 mAh battery
Allview V4 Viper,"Dual SIM (Nano-SIM, dual stand-by)","5.7 inches, 81.1 cm2 (~78.4% screen-to-body ratio)",Android 9.0 (Pie),Mediatek MT6761 Helio A22 (12 nm),Quad-core 2.0 GHz Cortex-A53,"microSD, up to 128 GB (uses shared SIM slot)",16GB 2GB RAM,"8 MP, AF
0.3 MP, depth sensor",5 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP, LE","Fingerprint (rear-mounted), accelerometer, proximity",Non-removable Li-Po 2700 mAh battery
Allview Soul X6 Mini,"Dual SIM (Nano-SIM, dual stand-by)","6.2 inches, 95.9 cm2 (~79.3% screen-to-body ratio)",Android 9.0 (Pie),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,"microSD, up to 128 GB (dedicated slot)",16GB 2GB RAM,"13 MP, AF
2 MP, depth sensor",13 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.1, A2DP, LE","Fingerprint (rear-mounted), accelerometer, proximity",Non-removable Li-Po 4000 mAh battery
Allview Soul X6 Xtreme,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","6.39 inches, 100.2 cm2 (~85.9% screen-to-body ratio)",Android 9.0 (Pie),Mediatek Helio P70 (12nm),Octa-core (4x2.1 GHz Cortex-A73 & 4x1.9 GHz Cortex-A53),"microSD, up to 128 GB (uses shared SIM slot)",64GB 4GB RAM,"16 MP, f/1.8, PDAF
5 MP, depth sensor",Motorized pop-up 8 MP,"Wi-Fi 802.11 b/g/n/ac, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3450 mAh battery
Allview P10 Pro,"Dual SIM (Nano-SIM, dual stand-by)","5.99 inches, 92.6 cm2 (~74.9% screen-to-body ratio)",Android 8.1 (Oreo),Mediatek MT6739 (28 nm),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 128 GB",32GB 3GB RAM,"13 MP, AF
QVGA",8 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Fingerprint (rear-mounted), accelerometer, proximity",Li-Po 3000 mAh battery
Allview P10 Max,"Dual SIM (Nano-SIM, dual stand-by)","5.99 inches, 92.6 cm2 (~74.2% screen-to-body ratio)",Android 8.1 Oreo (Go edition),Mediatek MT6739 (28 nm),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 128 GB",8GB 1GB RAM,"13 MP, AF",13 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Fingerprint (rear-mounted), accelerometer, proximity",Li-Po 3200 mAh battery
Allview P10 Mini,"Dual SIM (Micro-SIM, dual stand-by)","5.0 inches, 68.9 cm2 (~66.4% screen-to-body ratio)",Android 8.1 Oreo (Go edition),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 128 GB",8GB 1GB RAM,"8 MP, AF",2 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE",Accelerometer,Li-Po 2400 mAh battery
Allview P10 Life,"Dual SIM (Micro-SIM, dual stand-by)","5.34 inches, 73.6 cm2 (~68.5% screen-to-body ratio)",Android 8.1 (Oreo),Mediatek MT6739 (28 nm),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 128 GB",16GB 2GB RAM,"8 MP, AF",5 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Accelerometer, proximity",Li-Po 2500 mAh battery
Allview A10 Lite 2019,"Dual SIM (Micro-SIM, dual stand-by)","5.34 inches, 73.6 cm2 (~70.4% screen-to-body ratio)",Android 8.1 Oreo (Go edition),Mediatek MT6580M (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 128 GB",8GB 1GB RAM,"8 MP, AF",2 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE","Accelerometer, proximity",Li-Ion 2150 mAh battery
Allview Allwatch Hybrid T,No,"1.22 inches, 4.8 cm2 (~21.6% screen-to-body ratio)",No,No,"4.2, A2DP, LE","Accelerometer, heart rate",Non-removable Li-Po 200 mAh battery
Allview Allwatch Hybrid S,No,"1.22 inches, 4.8 cm2 (~21.6% screen-to-body ratio)",No,No,"4.2, A2DP, LE","Accelerometer, heart rate",Non-removable Li-Po 200 mAh battery
Allview A10 Plus,"Dual SIM (Nano-SIM, dual stand-by)","5.34 inches, 73.6 cm2 (~67.9% screen-to-body ratio)",Android 8.1 Oreo (Go edition),Mediatek MT6580 (28 nm),Quad-core 1.3 GHz Cortex-A7,"microSD, up to 128 GB",8GB 1GB RAM,"8 MP, AF",5 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, LE",Accelerometer,Li-Ion 2200 mAh battery
Allview Soul X5 Style,"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","6.2 inches, 96.7 cm2 (~80.7% screen-to-body ratio)",Android 8.1 (Oreo),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,"microSD, up to 256 GB (uses shared SIM slot)",32GB 3GB RAM,"13 MP, AF
2 MP, depth sensor","8 MP, f/2.2","Wi-Fi 802.11 a/b/g/n, Wi-Fi Direct, hotspot","5.0, A2DP, LE","Fingerprint (rear-mounted), accelerometer, proximity, compass",Non-removable Li-Po 4000 mAh battery
Allview Allwatch V,No,"1.3 inches, 5.5 cm2 (~32.5% screen-to-body ratio)",No,No,"4.0, A2DP, LE","Accelerometer, heart rate",Non-removable Li-Po 130 mAh battery
Allview Soul X5 Mini,"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","5.67 inches, 81.0 cm2 (~77.2% screen-to-body ratio)",Android 8.1 (Oreo),Mediatek MT6739 (28 nm),Quad-core 1.3 GHz Cortex-A53,"microSD, up to 128 GB (uses shared SIM slot)",16GB 2GB RAM,"13 MP, AF
0.3 MP, depth sensor",5 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.2, A2DP, LE","Fingerprint (rear-mounted), accelerometer, proximity",Non-removable Li-Po 3050 mAh battery
Allview P10 Style,Hybrid Dual SIM (Micro-SIM/Nano SIM),"5.34 inches, 73.6 cm2 (~72.1% screen-to-body ratio)",Android 8.1 Oreo (Go edition),Mediatek MT6739M (28 nm),Quad-core 1.5 GHz Cortex-A53,"microSD, up to 256 GB (uses shared SIM slot)",8GB 1GB RAM,"8 MP, AF",8 MP,Wi-Fi 802.11 a/b/g/n,"4.2, A2DP, LE","Fingerprint (rear-mounted), accelerometer, proximity",Non-removable Li-Po 2300 mAh battery
Allview X5 Soul,"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","5.86 inches, 85.7 cm2 (~79.9% screen-to-body ratio)",Android 8.1 (Oreo),Mediatek MT6762 Helio P22 (12 nm),Octa-core 2.0 GHz Cortex-A53,"microSD, up to 256 GB (uses shared SIM slot)",32GB 4GB RAM,"16 MP, f/2.0, PDAF
5 MP, depth sensor","16 MP, f/2.0","Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3000 mAh battery
Allview Soul X5 Pro,"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","6.2 inches, 96.9 cm2 (~82.8% screen-to-body ratio)",Android 8.1 (Oreo),Mediatek MT6771 Helio P60 (12 nm),Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53),"microSD, up to 256 GB (uses shared SIM slot)",32GB 4GB RAM,"16 MP, f/2.0, PDAF
5 MP, depth sensor","16 MP, f/2.0","Wi-Fi 802.11 a/b/g/n/ac, Wi-Fi Direct, hotspot","4.2, A2DP, LE","Infrared face recognition, fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3000 mAh battery
Allview P8 Pro,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","5.5 inches, 83.4 cm2 (~72.5% screen-to-body ratio)",Android 7.0 (Nougat),Mediatek MT6737 (28 nm),Quad-core 1.45 GHz Cortex-A53,"microSD, up to 128 GB (uses shared SIM slot)",16GB 2GB RAM,"13 MP, AF",8 MP,Wi-Fi 802.11 b/g/n,"4.2, A2DP, LE","Fingerprint (rear-mounted), accelerometer, proximity",Non-removable Li-Po 3000 mAh battery
Allview X4 Soul Infinity Plus,"Hybrid Dual SIM (Nano-SIM, dual stand-by)","6.0 inches, 92.9 cm2 (~77.8% screen-to-body ratio)",Android 7.1 (Nougat),Mediatek MT6757 Helio P25 (16 nm),Octa-core (4x2.4 GHz Cortex-A53 & 4x1.4 GHz Cortex-A53),"microSD, up to 256 GB (uses shared SIM slot)",64GB 6GB RAM,"13 MP, 1/3"", 1.12µm, PDAF
5 MP, depth sensor",13 MP,"Wi-Fi 802.11 a/b/g/n, hotspot","4.0, A2DP, EDR, LE","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3050 mAh battery
Allview X4 Soul Infinity L,"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","5.7 inches, 83.8 cm2 (~76.0% screen-to-body ratio)",Android 7.0 (Nougat),Mediatek MT6737 (28 nm),Quad-core 1.45 GHz Cortex-A53,"microSD, up to 128 GB (uses shared SIM slot)",16GB 2GB RAM,"13 MP, AF",5 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, EDR","Fingerprint (rear-mounted), accelerometer, proximity",Non-removable Li-Po 3000 mAh battery
Allview X4 Soul Infinity N,"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","5.7 inches, 83.8 cm2 (~76.0% screen-to-body ratio)",Android 7.0 (Nougat),Mediatek MT6750T (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"microSD, up to 128 GB (uses shared SIM slot)",32GB 4GB RAM,"16 MP, PDAF",8 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, EDR","Fingerprint (rear-mounted), accelerometer, gyro, proximity",Non-removable Li-Po 3000 mAh battery
Allview X4 Soul Infinity S,"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","5.7 inches, 83.8 cm2 (~76.0% screen-to-body ratio)",Android 7.0 (Nougat),Mediatek MT6750T (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"microSD, up to 128 GB (uses shared SIM slot)",16GB 3GB RAM,"13 MP, PDAF",8 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, EDR","Fingerprint (rear-mounted), accelerometer, proximity",Non-removable Li-Po 3000 mAh battery
Allview X4 Soul Infinity Z,"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","5.7 inches, 83.8 cm2 (~76.0% screen-to-body ratio)",Android 7.0 (Nougat),Mediatek MT6750T (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"microSD, up to 128 GB (uses shared SIM slot)",32GB 4GB RAM,"13 MP, PDAF
5 MP, depth sensor",8 MP,"Wi-Fi 802.11 b/g/n, hotspot","4.0, A2DP, EDR","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 3000 mAh battery
Allview X4 Soul Vision,"Hybrid Dual SIM (Micro-SIM/Nano-SIM, dual stand-by)","5.5 inches, 83.4 cm2 (~72.0% screen-to-body ratio)",Android 7.0 (Nougat),Mediatek MT6750 (28 nm),Octa-core (4x1.5 GHz Cortex-A53 & 4x1.0 GHz Cortex-A53),"microSD, up to 256 GB (uses shared SIM slot)",32GB 3GB RAM,"13 MP, 1/3"", 1.12µm, PDAF",8 MP,"Wi-Fi 802.11 a/b/g/n, hotspot","4.0, A2DP, EDR, LE","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Non-removable Li-Po 4000 mAh battery
